id	parent_id	scientific_name	rank	extinct	english_label	wikidata_id	wikipedia_url	source_id
73QGK	BJCBC	Mycerinodes uluguruensis	species	false	Mycerinodes uluguruensis	Q14851194	https://en.wikipedia.org/wiki/Mycerinodes_uluguruensis	1032
73QH6	BJCBD	Mycerinopsis fulvescens	species	false	Mycerinopsis fulvescens	Q14825580	https://en.wikipedia.org/wiki/Mycerinopsis_fulvescens	1032
73QMP	BJFSK	Murupeaca tavakiliani	species	false	Murupeaca tavakiliani	Q14826279	https://en.wikipedia.org/wiki/Murupeaca_tavakiliani	1032
73QMV	5VTM	Murina rozendaali	species	false	Gilded tube-nosed bat	Q2895820	https://en.wikipedia.org/wiki/Gilded_tube-nosed_bat	2144
73QN8	7P9CJ	Muricopsis rosea	species	false	Muricopsis rosea	Q6938560	https://en.wikipedia.org/wiki/Muricopsis_rosea	1130
73QPG	5VVQ	Muscicapa williamsoni	species	false	Brown-streaked Flycatcher	Q15133675	https://en.wikipedia.org/wiki/Brown-streaked_flycatcher	2144
73QPR	5VVH	Muscardinus avellanarius	species	false	Hazel dormouse	Q207148	https://en.wikipedia.org/wiki/Hazel_dormouse	2144
73QQQ	5VXH	Musseromys anacuao	species	false	Musseromys anacuao	Q17154540	https://en.wikipedia.org/wiki/Sierra_Madre_tree-mouse	2144
73QR2	5VXH	Musseromys beneficus	species	false	Musseromys beneficus	Q17154541	https://en.wikipedia.org/wiki/Mount_Pulag_tree-mouse	2144
73QVH	8NSPL	Mozena buenoi	species	false	Mozena buenoi	Q10589820	https://en.wikipedia.org/wiki/Mozena_buenoi	1134
73R2Q	5VXH	Musseromys gulantang	species	false	Musseromys gulantang	Q3868679	https://en.wikipedia.org/wiki/Banahaw_tree_mouse	2144
73R32	5VXH	Musseromys inopinatus	species	false	Musseromys inopinatus	Q17154542	https://en.wikipedia.org/wiki/Amuyao_tree-mouse	2144
73R7H	8NSPL	Mozena obesa	species	false	Mozena obesa	Q10589822	https://en.wikipedia.org/wiki/Mozena_obesa	1134
73RD3	BJC94	Moron distigma	species	false	Moron distigma	Q2268541	https://en.wikipedia.org/wiki/Moron_distigma	1032
73RJT	5WLD	Myrmecia maura	species	false	Myrmecia maura	Q13868845	https://en.wikipedia.org/wiki/Myrmecia_maura	54937
73RJV	5WLD	Myrmecia gilberti	species	false	Myrmecia gilberti	Q13868797	https://en.wikipedia.org/wiki/Myrmecia_gilberti	54937
73RJW	5WLD	Myrmecia forficata	species	false	Myrmecia forficata	Q3012613	https://en.wikipedia.org/wiki/Myrmecia_forficata	54937
